target,global src apec.norm,global src TBabs.nH,global src gaussian.norm,global src gaussian_7.norm,1 bkg powerlaw.PhoIndex,2 bkg powerlaw.PhoIndex,3 bkg powerlaw.PhoIndex
hs026201_s,0.1580665161794983 -1,0.0656377185722 -1,0.043052525815733524 -1,0.004780766612670123 -1,0.8891592778954802 -1,0.8658678307495693 -1,0.8760552468039773 -1
hs026401_s,0.15425812087422236 -1,0.039139479813499994 -1,0.04327602237676037 -1,0.003459631167610407 -1,0.9194523437500001 -1,0.8926236707892388 -1,0.8903451825388606 -1
hs033101_s,0.32861754228845236 -1,0.015094159909 -1,0.035243245911851746 -1,0.00437491714686186 -1,0.8415622905027933 -1,0.7972345276458616 -1,0.8112333054318414 -1
hs033201_s,0.3742634926402941 -1,0.0154540376429 -1,0.038827581269838596 -1,0.006864747370991236 -1,0.7818051321138211 -1,0.7515959138365534 -1,0.7528639369461692 -1
hs033301_s,0.3534167389037087 -1,0.0201716252634 -1,0.03363800637270549 -1,0.003621903888903268 -1,0.8210916032953105 -1,0.8022326711491442 -1,0.8071854154280618 -1
hs004101_s,0.4031462672692 -1,0.06310822455189999 -1,0.03384082801581348 -1,0.004549274232296242 -1,0.7862029955621301 -1,0.7483311826145552 -1,0.7371123495989305 -1
hs004201_s,0.3980785609332 -1,0.0572374416559 -1,0.027335000000000005 -1,0.0024150000000000005 -1,0.6596242513020834 -1,0.6245360501126126 -1,0.6519911111111112 -1
hs006801_s,0.08847121958304 -1,0.0451079831786 -1,0.027565618676174602 -1,0.0017816024152345566 -1,0.8000442625284738 -1,0.7733332173447538 -1,0.7820753030711206 -1
hs006901_s,0.14097659380728 -1,0.038674971854800004 -1,0.02804298892446851 -1,0.0023287171200316913 -1,0.795020673076923 -1,0.7712558988764044 -1,0.7823970987297921 -1
hs007001_s,0.2352105071736 -1,0.0790199915323 -1,0.026421107316791793 -1,0.0018990577580736874 -1,0.8836204430835736 -1,0.8370787471064814 -1,0.8501498850691767 -1
